File Path,malloc,free,calloc,realloc,total,subsystem
/home/k/iteration2/src/FS/hfs_diskio.c,5,9,0,0,14,FileMgr
/home/k/iteration2/src/FileMgr/volume_manager.c,2,7,0,0,9,FileMgr
/home/k/iteration2/src/FS/hfs_btree.c,3,6,0,0,9,FileMgr
/home/k/iteration2/src/FS/hfs_volume.c,1,8,0,0,9,FileMgr
/home/k/iteration2/src/HFS_Allocation.c,0,5,3,0,8,FileMgr
/home/k/iteration2/src/FileManager.c,0,5,2,0,7,FileMgr
/home/k/iteration2/src/FileMgr/btree_services.c,2,5,0,0,7,FileMgr
/home/k/iteration2/src/FS/vfs.c,3,4,0,0,7,FileMgr
/home/k/iteration2/src/HFS_Catalog.c,0,3,2,0,5,FileMgr
/home/k/iteration2/src/FS/hfs_file.c,2,3,0,0,5,FileMgr
/home/k/iteration2/src/HFS_Volume.c,0,3,1,0,4,FileMgr
/home/k/iteration2/src/FileManagerStubs.c,0,2,2,0,4,FileMgr
/home/k/iteration2/src/FontManager/ModernFontSupport.c,3,36,7,0,46,FontManager
/home/k/iteration2/src/FontManager/WebFontSupport.c,7,19,2,3,31,FontManager
/home/k/iteration2/src/FontManager/ModernFontDetection.c,1,2,0,0,3,FontManager
/home/k/iteration2/src/SpeechManager/TextToSpeech.c,10,7,0,0,17,SpeechManager
/home/k/iteration2/src/SpeechManager/VoiceResources.c,4,12,0,0,16,SpeechManager
/home/k/iteration2/src/SpeechManager/PronunciationEngine.c,4,10,0,1,15,SpeechManager
/home/k/iteration2/src/SpeechManager/SpeechSynthesis.c,2,6,0,0,8,SpeechManager
/home/k/iteration2/src/SpeechManager/SpeechOutput.c,3,3,0,0,6,SpeechManager
/home/k/iteration2/src/SpeechManager/SpeechChannels.c,1,3,0,1,5,SpeechManager
/home/k/iteration2/src/SpeechManager/VoiceManager.c,0,2,0,0,2,SpeechManager
/home/k/iteration2/src/AppleEventManager/AppleEventManagerCore.c,3,8,0,1,12,AppleEventManager
/home/k/iteration2/src/AppleEventManager/EventDescriptors.c,3,8,0,0,11,AppleEventManager
/home/k/iteration2/src/AppleEventManager/EventRecording.c,3,3,2,0,8,AppleEventManager
/home/k/iteration2/src/AppleEventManager/EventHandlers.c,3,3,0,0,6,AppleEventManager
/home/k/iteration2/src/AppleEventManager/AppleEventExample.c,1,5,0,0,6,AppleEventManager
/home/k/iteration2/src/AppleEventManager/EventCoercion.c,2,2,0,0,4,AppleEventManager
/home/k/iteration2/src/AppleEventManager/AppleEventDispatch.c,1,2,0,0,3,AppleEventManager
/home/k/iteration2/src/DeskManager/BuiltinDAs.c,4,8,0,0,12,DeskManager
/home/k/iteration2/src/DeskManager/DALoader.c,2,6,2,0,10,DeskManager
/home/k/iteration2/src/DeskManager/Chooser.c,4,2,0,0,6,DeskManager
/home/k/iteration2/src/DeskManager/DAWindows.c,1,2,1,0,4,DeskManager
/home/k/iteration2/src/DeskManager/SystemMenu.c,1,2,1,0,4,DeskManager
/home/k/iteration2/src/DeskManager/Notepad.c,0,2,1,0,3,DeskManager
/home/k/iteration2/src/DeskManager/AlarmClock.c,1,1,0,0,2,DeskManager
/home/k/iteration2/src/DeskManager/DAPreferences.c,2,0,0,0,2,DeskManager
/home/k/iteration2/src/DeskManager/KeyCaps.c,1,1,0,0,2,DeskManager
/home/k/iteration2/src/DeskManager/DeskManagerCore.c,0,1,1,0,2,DeskManager
